Company Name,Website,Domain,Phone,City,Country
Terroir Wine Bar,http://terroirbarsg.com/,terroirbarsg.com,+84 775 969 136,Ho Chi Minh City,Vietnam
Italiani's Pizza Han Thuyen,https://italianis.vn/,italianis.vn,+84 909 974 992,Ho Chi Minh City,Vietnam
Basilico,https://www.sevenrooms.com/reservations/basilicohochiminhsgnjs/goog,www.sevenrooms.com/reservations/basilicohochiminhsgnjs/goog,+84 28 3520 9999,Ho Chi Minh City,Vietnam
Terraviva Pizza & Italian Cuisine Bến Thành,https://www.facebook.com/terravivapizza/,www.facebook.com/terravivapizza,+84 903 696 194,Ho Chi Minh City,Vietnam
Taberna Gusti Piadina & Pasta Bar,http://www.tabernagusti.com/,www.tabernagusti.com,+84 902 462 934,Ho Chi Minh City,Vietnam
Antico Fornaio - Ho Chi Minh,https://linktr.ee/antico.fornaio,linktr.ee/antico.fornaio,+84 834 918 723,Ho Chi Minh City,Vietnam
PASTA CLUB Not so Italian,https://lnk.bio/pastaclub,lnk.bio/pastaclub,+84 901 691 010,Ho Chi Minh City,Vietnam
Vittorio Italian Restaurant,http://vittoriosaigon.com/,vittoriosaigon.com,,Ho Chi Minh City,Vietnam
Ottimo House Trattoria,,,+84 906 983 183,Ho Chi Minh City,Vietnam
Buongiorno,,,+84 703 033 029,Ho Chi Minh City,Vietnam
My Nossa (Western steak & Italian cuisine),https://nossa.vn/,nossa.vn,+84 765 192 626,Ho Chi Minh City,Vietnam
CHIIK Steak & Pasta Thảo Điền,http://chiiksteakpasta.com/,chiiksteakpasta.com,+84 375 504 777,Ho Chi Minh City,Vietnam
Ciao Bella,,,+84 838 783 456,Ho Chi Minh City,Vietnam
MAD Wine Bar & Eatery,http://www.madwinesaigon.com/,www.madwinesaigon.com,+84 946 534 326,Ho Chi Minh City,Vietnam
Al Fresco's Cộng Hòa,https://alfrescos.com.vn/,alfrescos.com.vn,+84 28 3948 2631,Ho Chi Minh City,Vietnam
El Gaucho | Hai Ba Trung,https://elgaucho.asia/,elgaucho.asia,+84 28 3827 2090,Ho Chi Minh City,Vietnam
Paulie's Pizza & Pasta - Authentic Sourdough Pizza in Saigon,http://pauliespizzaandpasta.com/,pauliespizzaandpasta.com,,Ho Chi Minh City,Vietnam
BỜM - Kitchen & Wine Bar,https://bomkitchen.com/press/,bomkitchen.com/press,+84 823 999 980,Ho Chi Minh City,Vietnam
Đại Lý Bia Nước Ngọt Minh Quân,,,+84 902 394 868,Ho Chi Minh City,Vietnam
Alchemy House - Alchemy-Asia,http://alchemy-asia.com/,alchemy-asia.com,+84 28 3822 1666,Ho Chi Minh City,Vietnam
"SWQ Alcohol Distribution Company (Cheers, Saigon Spirits, Moscow Vodka, OEM Spirits)",https://cheers-distillery.com/,cheers-distillery.com,+84 916 661 153,Ho Chi Minh City,Vietnam
Habanos Specialist Sasco,https://habanosspecialist.vn/,habanosspecialist.vn,+84 961 697 778,Ho Chi Minh City,Vietnam
Thế Giới Rượu,http://www.thegioiruou.vn/,www.thegioiruou.vn,+84 28 2218 1818,Ho Chi Minh City,Vietnam
Rượu Nhập Khẩu Hoàng Gia,https://hoanggiawines.com/,hoanggiawines.com,+84 937 788 388,Ho Chi Minh City,Vietnam
WINECELLAR.vn 43 Phan Chu Trinh | Cửa hàng rượu vang & quà tặng tết doanh nghiệp,https://winecellar.vn/,winecellar.vn,+84 987 577 836,Hanoi,Vietnam
WINECELLAR.vn 88 Đào Tấn | Cửa hàng rượu vang & quà tặng tết doanh nghiệp,https://winecellar.vn/,winecellar.vn,+84 968 497 836,Hanoi,Vietnam
Nier Fine Wines Vietnam,https://nierwines.com/,nierwines.com,+84 909 809 643,Hanoi,Vietnam
WINECELLAR.vn 78 Vũ Phạm Hàm | Cửa hàng rượu vang & quà tặng tết doanh nghiệp,https://winecellar.vn/,winecellar.vn,+84 986 587 836,Hanoi,Vietnam
Wine Cellar,https://winecellar.vn/,winecellar.vn,+84 903 082 366,Hanoi,Vietnam
Công ty Rượu Vang Nhập Khẩu Vincorp,http://www.vincorp.vn/,www.vincorp.vn,+84 24 3976 6167,Hanoi,Vietnam
Cửa Hàng Rượu Vang Red Apron 61 Lý Thái Tổ - Wine Shop,https://redapron.vn/,redapron.vn,+84 936 469 028,Hanoi,Vietnam
Cửa Hàng Rượu Vang Red Apron 83 Linh Lang - Wine Shop,https://redapron.vn/,redapron.vn,+84 936 446 518,Hanoi,Vietnam
Nier Fine Wine Vietnam,https://nierfinewinesvietnam.vn/,nierfinewinesvietnam.vn,+84 913 793 389,Hanoi,Vietnam
Cửa Hàng Rượu Vang Red Apron 10 Dã Tượng - Wine Shop,https://redapron.vn/,redapron.vn,+84 936 463 128,Hanoi,Vietnam
Công ty TNHH Wine Standard Việt Nam,,,+84 915 336 886,Hanoi,Vietnam
Cửa Hàng Rượu Vang Red Apron 91 Xuân Diệu - Wine Shop,https://redapron.vn/,redapron.vn,+84 936 451 528,Hanoi,Vietnam
Wine VN - Cửa Hàng Rượu Vang & Rượu Mạnh Cao Cấp Hà Nội,https://winevn.com/,winevn.com,+84 977 898 007,Hanoi,Vietnam
Vang Chất - Rượu vang nhập khẩu,https://vangchat.com.vn/,vangchat.com.vn,+84 849 788 111,Hanoi,Vietnam
Royal Store Hà Nội,https://vangchat.com.vn/,vangchat.com.vn,+84 981 171 923,Hanoi,Vietnam
Rượu Ánh Vang | Cửa hàng rượu vang nhập khẩu chính hãng Hà Nội,https://anhvang.vn/,anhvang.vn,+84 963 030 356,Hanoi,Vietnam
Cửa Hàng Rượu Vang Red Apron 94 Xuân Diệu - Wine Shop,https://redapron.vn/,redapron.vn,+84 936 376 038,Hanoi,Vietnam
Công ty cổ phần Native Wines,http://nativewines.vn/,nativewines.vn,+84 975 049 086,Hanoi,Vietnam
Wine VN - Cửa Hàng Rượu Vang & Rượu Mạnh Nhập Khẩu Hà Nội,https://winevn.com/,winevn.com,+84 942 660 369,Hanoi,Vietnam
THỞ - Wine Space,http://thowinespace.com/,thowinespace.com,+84 932 824 768,Hanoi,Vietnam
WeWine 94 Lý Thường Kiệt - Cửa hàng rượu vang nhập khẩu Hà Nội,http://wewine.vn/,wewine.vn,+84 24 3206 8186,Hanoi,Vietnam
Sono Wine Hanoi,https://sonowine.vn/,sonowine.vn,+84 936 220 620,Hanoi,Vietnam
Luvin Gourmet 01- Wine Shop & Bar,https://luvin.com.vn/,luvin.com.vn,+84 768 553 838,Hanoi,Vietnam
Wine Shop,,,+84 904 091 771,Hanoi,Vietnam
Hanoi Gourmet,http://www.hanoigourmet.com/,www.hanoigourmet.com,+84 24 3943 1009,Hanoi,Vietnam
Le Vine Hanoi,https://levine.vn/,levine.vn,+84 984 525 555,Hanoi,Vietnam
The Barrel,,,+84 902 190 330,Hanoi,Vietnam
Bouchon Wine & Champagne Corner,,,+84 766 265 225,Hanoi,Vietnam
Boutique Brand Collective Hanoi Office,https://www.facebook.com/BoutiqueBrandCollective,www.facebook.com/BoutiqueBrandCollective,,Hanoi,Vietnam
The Warehouse - Wine Merchants,,,+84 24 3928 7666,Hanoi,Vietnam
The Warehouse - Wine Merchants,,,+84 24 3928 7666,Hanoi,Vietnam
Rượu Vang Nhập Khẩu - VINO GROUP Head office 12 Ngõ 20 Ngụy Như Kon Tum,https://vivino.vn/,vivino.vn,+84 946 668 883,Hanoi,Vietnam
Liquor Store,https://www.facebook.com/ruouhunganh1985/?modal=admin_todo_tour,www.facebook.com/ruouhunganh1985/?modal=admin_todo_tour,+84 24 3826 7157,Hanoi,Vietnam
Đồ Uống Nhập Khẩu Shop,https://douongnhapkhau.com/,douongnhapkhau.com,+84 936 388 831,Hanoi,Vietnam
Scot,,,+84 24 3978 5654,Hanoi,Vietnam
Rượu nhập khẩu và rượu truyền thống Nhật Đan,https://vangtheky.com/,vangtheky.com,+84 903 204 876,Hanoi,Vietnam
International Beverage Vietnam,http://www.interbevgroup.com/,www.interbevgroup.com,+84 24 7108 9898,Hanoi,Vietnam
1984 Pub,,,+84 912 960 466,Hanoi,Vietnam
Habanos Specialist Vietnam - Grandeur Palace,http://habanosspecialist.vn/,habanosspecialist.vn,+84 832 277 778,Hanoi,Vietnam
CÔNG TY TNHH XNK XUÂN THÀNH,http://ruoungoaichuan.com/,ruoungoaichuan.com,+84 962 037 222,Hanoi,Vietnam
CÔNG TY CỔ PHẦN ĐỒ UỐNG MỚI,,,+84 974 567 345,Hanoi,Vietnam
"Bia Tây Hồ - Nhà Phân Phối Bia Hơi, Bia Chai Hà Nội",,,+84 856 921 968,Hanoi,Vietnam
Nhà Phân Phối Rượu Nhập Khẩu Mai Anh,,,+84 24 3851 1623,Hanoi,Vietnam
WineCorner Hanoi,https://linktr.ee/winecorner,linktr.ee/winecorner,+84 904 885 405,Hanoi,Vietnam
Pane e Vino Italian Restaurant & Wine Shop - Opera House,,,+84 24 3826 9080,Hanoi,Vietnam
Vinci Cucina & Vino,,,+84 962 952 265,Hanoi,Vietnam
Caffè Italia,,,+84 364 574 202,Hanoi,Vietnam
Pane e Vino Italian Restaurant & Wine Shop - Nguyễn Chánh,http://panevino.vn/,panevino.vn,+84 906 284 294,Hanoi,Vietnam
Paolo & Chi Pizzeria Lounge,,,+84 24 3933 9727,Hanoi,Vietnam
LA RENNA - Italian Restaurant & Wine,,,+84 342 612 149,Hanoi,Vietnam
CORAGGIO,https://www.facebook.com/Coraggio.me,www.facebook.com/Coraggio.me,+84 983 583 589,Hanoi,Vietnam
Luna d'Autunno - Italian Pizzeria & Restaurant,https://lunadautunno.com/products/#grp-pizza,lunadautunno.com/products/#grp-pizza,+84 388 884 052,Hanoi,Vietnam
Cugini - italian restaurant,https://www.facebook.com/cugini.tongocvan/,www.facebook.com/cugini.tongocvan,+84 888 116 654,Hanoi,Vietnam
La Fiorentina - Italian Restaurant,https://www.facebook.com/italiadrinkfood/,www.facebook.com/italiadrinkfood,+84 936 302 868,Hanoi,Vietnam
dragonCELLO,https://dragoncello.vn/,dragoncello.vn,+84 355 785 046,Hanoi,Vietnam
Paula’s Wines Restaurant,,,+84 24 3234 5057,Hanoi,Vietnam
Tannin Wine Bar,http://www.tanninwinebar.com.vn/,www.tanninwinebar.com.vn,+84 904 789 482,Hanoi,Vietnam
Pizza 4P’s Bao Khanh,https://pizza4ps.com/,pizza4ps.com,+84 1900 6043,Hanoi,Vietnam
Paolo & Chi Pizzeria Old Quarter,,,+84 924 681 986,Hanoi,Vietnam
Pizza 4P's Lotte Center Hanoi,https://pizza4ps.com/,pizza4ps.com,+84 28 3622 0500,Hanoi,Vietnam
Pizza 4P’s Tràng Tiền,https://pizza4ps.com/,pizza4ps.com,+84 1900 6043,Hanoi,Vietnam
"Vinci, Pizza and Grill",http://vincirestaurant.com/,vincirestaurant.com,+84 969 756 304,Hanoi,Vietnam
The Bottle Shop Old Quarter - Craft Beer & Craft Spirits,http://www.thebottleshop.vn/,www.thebottleshop.vn,+84 962 397 966,Hanoi,Vietnam
Hanoi Homebrew - Local Craft Beer - Micro Brewery - Sport Bar,,,+84 368 428 198,Hanoi,Vietnam
CÔNG TY CỔ PHẦN RƯỢU VÀ NƯỚC GIẢI KHÁT HÀ NỘI (HALICO),https://www.halico.com.vn/,www.halico.com.vn,+84 24 3976 2316,Hanoi,Vietnam
Drink4U - Rượu vang nhập khẩu,https://drink4u.vn/,drink4u.vn,+84 947 289 558,Hanoi,Vietnam
The Bottle Shop West Lake - Craft Beer & Craft Spirits,http://www.thebottleshop.vn/,www.thebottleshop.vn,+84 983 171 366,Hanoi,Vietnam
Rượu vang Cao Minh - Chuỗi cửa hàng phân phối rượu vang nhập khẩu uy tín,https://ruouvangcaominh.vn/,ruouvangcaominh.vn,+84 947 646 988,Hanoi,Vietnam
WINECELLAR.vn Đà Nẵng | Cửa hàng rượu vang & quà tặng tết doanh nghiệp,https://winecellar.vn/,winecellar.vn,+84 935 567 172,Da Nang,Vietnam
VINADRINK - Distributor of Wines & Spirits,http://www.vinadrink.com/,www.vinadrink.com,+84 236 3607 775,Da Nang,Vietnam
Dong Thu Wine Shop,https://shopruoudongthu.com/,shopruoudongthu.com,+84 903 551 415,Da Nang,Vietnam
Red Apron Wines,https://redapron.vn/,redapron.vn,+84 904 584 556,Da Nang,Vietnam
