Company Name,Website,Domain,Phone,City,Country
Morvino,http://www.wineorder.co.za/,www.wineorder.co.za,+27 21 703 3775,Cape Town,South Africa
Idiom Restaurant & Idiom Wine Tasting Centre,http://www.idiom.co.za/,www.idiom.co.za,+27 21 858 1088,Cape Town,South Africa
"Adriatic (CPT) - Italian Food, Wine & Catering Equipment",https://www.adriatic.co.za/,www.adriatic.co.za,+27 21 551 3882,Cape Town,South Africa
Italian Deli Online,https://italiandelionline.co.za/,italiandelionline.co.za,+27 21 422 1226,Cape Town,South Africa
Rialto Foods,http://www.rialtofoods.co.za/,www.rialtofoods.co.za,+27 21 555 2160,Cape Town,South Africa
Sapori | International & Local Foods,https://www.sapori.co.za/,www.sapori.co.za,+27 21 201 7561,Cape Town,South Africa
La Bottega Deli,http://labottegadeli.co.za/,labottegadeli.co.za,+27 21 910 0733,Cape Town,South Africa
Giovanni's,http://www.giovannisdeliworld.co.za/,www.giovannisdeliworld.co.za,+27 21 434 6893,Cape Town,South Africa
Olive Branch Deli,http://www.olivebranchdeli.com/,www.olivebranchdeli.com,+27 73 847 5499,Cape Town,South Africa
The Pasta Factory,http://www.pastafactory.co.za/,www.pastafactory.co.za,+27 21 510 7150,Cape Town,South Africa
Meditalia Food Importers,https://meditalia.co.za/,meditalia.co.za,+27 21 554 5471,Cape Town,South Africa
Market Anatolia Cape Town,https://marketanatolia.co.za/,marketanatolia.co.za,+27 74 620 5817,Cape Town,South Africa
"Adriatic (JHB) - Italian Food, Wine & Catering Equipment",https://www.adriatic.co.za/,www.adriatic.co.za,+27 11 392 4809,Cape Town,South Africa
Danilos Pasta Deli,http://www.danilospasta.co.za/,www.danilospasta.co.za,+27 21 683 6859,Cape Town,South Africa
Lello’s Deli,,,+27 60 795 9071,Cape Town,South Africa
Puglia Cheese,http://www.puglia.co.za/,www.puglia.co.za,+27 21 556 7188,Cape Town,South Africa
FRANDALE IMPORTS,,,+27 21 820 3370,Cape Town,South Africa
Donatella's,,,,Cape Town,South Africa
The Beverage Company (Cape Town),https://thebeveragecompany.co.za/,thebeveragecompany.co.za,+27 21 534 8070,Cape Town,South Africa
Flare Beverages (Pty) Ltd,http://www.flarebev.co.za/,www.flarebev.co.za,+27 21 905 8163,Cape Town,South Africa
Beverage People,http://www.beveragepeople.co.za/,www.beveragepeople.co.za,+27 21 438 6900,Cape Town,South Africa
Best Beverages Kingsley Depot Cape Town.,http://www.kingsleybeverages.com/za/,www.kingsleybeverages.com/za,+27 66 048 6376,Cape Town,South Africa
Coca Cola Peninsula Beverages,http://peninsulabeverage.co.za/,peninsulabeverage.co.za,+27 21 936 5500,Cape Town,South Africa
Cape Town Cool Drink Company,,,+27 21 826 7611,Cape Town,South Africa
Bevplus,https://bevplus.com/,bevplus.com,+27 21 820 9500,Cape Town,South Africa
Elmi Cash & Carry,,,+27 21 946 3845,Cape Town,South Africa
Liquid Concepts Cape Town,http://www.liquidconcepts.co.za/,www.liquidconcepts.co.za,+27 86 179 7877,Cape Town,South Africa
CoolSnax,http://www.coolsnax.co.za/,www.coolsnax.co.za,+27 87 470 0908,Cape Town,South Africa
The Beer Merchant,,,+27 61 523 9137,Cape Town,South Africa
Nurush Distributors cc,,,+27 21 703 9131,Cape Town,South Africa
UNIVERSAL BEVERAGES,http://universalbeverages.co.za/,universalbeverages.co.za,+27 21 683 0387,Cape Town,South Africa
Wine Concepts On Kloof,,,+27 21 426 4401,Cape Town,South Africa
Constantia Wine & Craft,http://www.constantiawineandcraft.co.za/,www.constantiawineandcraft.co.za,+27 21 761 3877,Cape Town,South Africa
TOPS at SPAR Cape Quarter,https://www.topsatspar.co.za/Stores/Store-View/Tops-CAPE-QUARTER-TOPS-Western-Cape,www.topsatspar.co.za/Stores/Store-View/Tops-CAPE-QUARTER-TOPS-Western-Cape,+27 21 418 0360,Cape Town,South Africa
Wine Concepts,http://wineconcepts.co.za/,wineconcepts.co.za,+27 21 671 9030,Cape Town,South Africa
Norman Goodfellows,https://www.ngf.co.za/,www.ngf.co.za,+27 21 461 2270,Cape Town,South Africa
WYN STORE 7130 – SPECIALIST WINE STORE,http://www.wynstore.co.za/,www.wynstore.co.za,+27 21 300 0101,Cape Town,South Africa
Cape Town Wine Co.,,,+27 21 789 0900,Cape Town,South Africa
Robinson & Sinclair - The Wine Shop,http://www.robinson-sinclair.co.za/,www.robinson-sinclair.co.za,+27 21 462 6385,Cape Town,South Africa
Vine and Dandy,https://vineanddandy.co.za/,vineanddandy.co.za,+27 66 348 5307,Cape Town,South Africa
Tamboerswinkel,http://bit.ly/tw_socials,bit.ly/tw_socials,+27 66 294 1485,Cape Town,South Africa
Cape Town Wine and Spirits Boutique,,,+27 72 358 5362,Cape Town,South Africa
Openwine,,,+27 67 617 6064,Cape Town,South Africa
Mothercity Liquor,http://www.mothercityliquor.co.za/,www.mothercityliquor.co.za,+27 21 569 3746,Cape Town,South Africa
Model Liquor Distributors,http://www.modelliquor.co.za/,www.modelliquor.co.za,+27 16 362 3223,Cape Town,South Africa
R&H Liquor Distributors,,,+27 21 931 1910,Cape Town,South Africa
Liquor.co.za,,,+27 76 061 5783,Cape Town,South Africa
