Company Name,Website,Domain,Phone,City,Country
ViNO.SO,https://www.instagram.com/vino.so_?igsh=MW9yamd1YWd0eWpqcA==&utm_source=qr,www.instagram.com/vino.so_?igsh=MW9yamd1YWd0eWpqcA==&utm_source=qr,+886 7 722 5252,Kaohsiung,Taiwan
DOWA SKY LOUNGE,https://www.facebook.com/DOWASKYLOUNGE,www.facebook.com/DOWASKYLOUNGE,+886 7 536 8388,Kaohsiung,Taiwan
鸚鵡螺餐酒館 鹽埕五福店 Bar Nautilus Wufu,https://sites.google.com/view/barssn117/home,sites.google.com/view/barssn117/home,+886 906 963 156,Kaohsiung,Taiwan
WINESWEE 威士威 高雄中正店,https://wineswee.com/,wineswee.com,+886 7 226 8168,Kaohsiung,Taiwan
SEEDS 大地義式餐廳 SEEDS Italian Restaurant,https://ickaohsiung.com/restaurant/seeds-2/,ickaohsiung.com/restaurant/seeds-2,+886 7 339 0303,Kaohsiung,Taiwan
小酌 FEWdrink,https://www.facebook.com/FewDrink/,www.facebook.com/FewDrink,+886 7 236 6656,Kaohsiung,Taiwan
拾光餐酒館 Refind.bistro,,,+886 7 261 0600,Kaohsiung,Taiwan
Gien Jia picky eaters,https://linktr.ee/gienjia,linktr.ee/gienjia,+886 7 288 5252,Kaohsiung,Taiwan
Belfort Bistro,http://belfort.com.tw/,belfort.com.tw,+886 7 281 9876,Kaohsiung,Taiwan
Ruelle Bar & Dining 巷子餐與酒,https://m.facebook.com/Ruelle.Bar.Dining/,m.facebook.com/Ruelle.Bar.Dining,+886 7 261 8887,Kaohsiung,Taiwan
BITE 2 EAT,http://www.bite2eatpizza.com/,www.bite2eatpizza.com,+886 7 335 3353,Kaohsiung,Taiwan
小義樓 Mini Trattoria,https://www.facebook.com/XiaoYiLouBistro,www.facebook.com/XiaoYiLouBistro,+886 7 281 4057,Kaohsiung,Taiwan
Little Green,https://www.facebook.com/LittleGreen2005/,www.facebook.com/LittleGreen2005,+886 7 215 5296,Kaohsiung,Taiwan
Chic Café,https://www.facebook.com/chiccafe01,www.facebook.com/chiccafe01,+886 7 215 7785,Kaohsiung,Taiwan
帕狄尼諾 Padrino義大利廚房-大立店,https://www.facebook.com/profile.php?id=100091626773864,www.facebook.com/profile.php?id=100091626773864,+886 7 241 8838,Kaohsiung,Taiwan
