Company Name,Website,Domain,Phone,City,Country
Винотека The Wine Астана,,,+7 776 197 1111,Astana,Kazakhstan
Yellow Bottle,,,+7 702 629 8245,Astana,Kazakhstan
V Gostyakh U Barabashki,http://barabashka.kz/,barabashka.kz,+7 7172 32 81 19,Astana,Kazakhstan
"Pivnoy Magazin ""Tsentr Piva""",,,+7 7172 62 65 65,Astana,Kazakhstan
Astana Mir Vkusa,https://vkusmart.vmv.kz/,vkusmart.vmv.kz,+7 7172 32 00 54,Astana,Kazakhstan
Astana Mir Vkusa,https://vkusmart.vmv.kz/,vkusmart.vmv.kz,+7 7172 79 04 07,Astana,Kazakhstan
ZETA,https://astana.zeta.kz/,astana.zeta.kz,+7 7172 26 82 82,Astana,Kazakhstan
Mounte Bianko,,,,Astana,Kazakhstan
ZEARIS CHACHA,,,+7 7172 26 52 65,Astana,Kazakhstan
Carabao Kazakhstan,http://www.carabaoenergy.co.uk/,www.carabaoenergy.co.uk,+7 775 761 8892,Astana,Kazakhstan
НордТел,http://nordtel.kz/sale.html,nordtel.kz/sale.html,+7 701 958 6145,Astana,Kazakhstan
Too Talgat-Eksport,http://talgat-eksport.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb,talgat-eksport.all.biz/?utm_source=google&utm_medium=gmb&utm_term=gmb,+7 701 361 0699,Astana,Kazakhstan
Asar Su,https://asarsu.kz/,asarsu.kz,+7 747 584 8447,Astana,Kazakhstan
ICEMOOZ,http://instagram.com/icemooz_astana,instagram.com/icemooz_astana,+7 777 036 9708,Astana,Kazakhstan
Солод,https://m.2gis.kz/astana/firm/70000001031459163,m.2gis.kz/astana/firm/70000001031459163,+7 702 639 4548,Astana,Kazakhstan
Алкомаркет | Бар SPIRITO в Астане,https://spirito.kz/,spirito.kz,+7 700 771 4636,Astana,Kazakhstan
V Gostyakh U Barabashki,http://barabashka.kz/,barabashka.kz,+7 7172 29 23 03,Astana,Kazakhstan
Alkomarket,,,,Astana,Kazakhstan
Kampit,http://kampit.kz/,kampit.kz,+7 771 101 1341,Astana,Kazakhstan
⭐️ТОО AVECO Group - Металлопрокат,https://aveco.kz/,aveco.kz,+7 771 505 6060,Astana,Kazakhstan
"Alkomarket ""Beru Vykhodnoy""",,,+7 778 864 5594,Astana,Kazakhstan
Craft Market,https://craft-m.kz/contacts,craft-m.kz/contacts,+7 701 749 4363,Astana,Kazakhstan
Пивной магазин PIVOMANIA,https://pivomania.kz/,pivomania.kz,+7 775 085 5050,Astana,Kazakhstan
Optovyy Sklad Magazin,,,+7 778 352 9025,Astana,Kazakhstan
12 months,http://12.kz/,12.kz,+7 7172 67 73 20,Astana,Kazakhstan
Magnum,https://magnum.kz/,magnum.kz,+7 727 339 7340,Astana,Kazakhstan
Cave de Vin,http://cavedevin.com/,cavedevin.com,+82 2-786-3136,Seoul,South Korea
Shindong Wine,,,+82 2-797-9994,Seoul,South Korea
뱅가드와인머천트 여의도지점,http://www.vanguardwinemerchants.com/,www.vanguardwinemerchants.com,+82 2-783-0751,Seoul,South Korea
Cheongdam Wine & More,http://shinsegae-lnb.com/about/winemore,shinsegae-lnb.com/about/winemore,+82 2-548-3993,Seoul,South Korea
KoreanWines Company,http://www.koreanwines.com/,www.koreanwines.com,+82 2-6071-0737,Seoul,South Korea
Winebow,http://www.winebow.co.kr/,www.winebow.co.kr,+82 2-6349-9463,Seoul,South Korea
카스카와인 낙성대점,https://cafe.naver.com/cabodaroca,cafe.naver.com/cabodaroca,+82 10-8456-3852,Seoul,South Korea
서울와인앤스피릿(SWS),http://www.seoulwines.co.kr/,www.seoulwines.co.kr,+82 2-720-3788,Seoul,South Korea
sav.seoul,https://www.instagram.com/sav.seoul/,www.instagram.com/sav.seoul,+82 2-512-4939,Seoul,South Korea
"Vanguard Wine Merchants, Gangnam",http://www.vwm.co.kr/,www.vwm.co.kr,+82 2-2051-0751,Seoul,South Korea
FJ KOREA 에프제이 코리아,http://fjkorea.co.kr/,fjkorea.co.kr,+82 2-474-3605,Seoul,South Korea
Pirates Market,,,+82 10-4143-0542,Seoul,South Korea
한독와인,https://handokwine.co.kr/,handokwine.co.kr,+82 2-551-6874,Seoul,South Korea
TSL,https://taesanliquor.com/,taesanliquor.com,+82 31-722-0167,Seoul,South Korea
Keumyang International,http://www.keumyang.com/,www.keumyang.com,+82 2-869-5264,Seoul,South Korea
Ltd. Korea mabaeng,https://winehaeshop.com/,winehaeshop.com,+82 2-545-5816,Seoul,South Korea
와인2U코리아 (Wine2UKorea),http://www.wine2u.co.kr/,www.wine2u.co.kr,+82 31-705-7168,Seoul,South Korea
All that Wine,,,+82 2-477-6805,Seoul,South Korea
비티스 - VITIS,https://vitis.co.kr/,vitis.co.kr,+82 2-752-4105,Seoul,South Korea
Pierre Cigar Club,https://www.instagram.com/pierrenamsan.bar/,www.instagram.com/pierrenamsan.bar,+82 2-790-4523,Seoul,South Korea
포도로,,,+82 31-889-1160,Seoul,South Korea
TRADERS WHOLESALE CLUB,http://www.traders.co.kr/,www.traders.co.kr,+82 2-6320-1234,Seoul,South Korea
Flower Gift Korea,https://www.flowergiftkorea.com/,www.flowergiftkorea.com,+82 10-8861-6414,Seoul,South Korea
Wine Cellar,,,,Seoul,South Korea
Rose Mart,https://kakao.wnrt.kr/rosewine,kakao.wnrt.kr/rosewine,+82 50-71440-4566,Seoul,South Korea
Euljiro winery(을지로 와이너리),,,+82 2-2272-8968,Seoul,South Korea
틴서울 tiiin seoul,https://instagram.com/tiiin.seoul,instagram.com/tiiin.seoul,+82 10-2484-1206,Seoul,South Korea
Ciuri Ciuri Italian Restaurant,http://www.facebook.com/ciuriciuriseoul,www.facebook.com/ciuriciuriseoul,+82 2-749-9996,Seoul,South Korea
Szimpatikus Seoul Station,https://www.instagram.com/szimpatikus.seoul/,www.instagram.com/szimpatikus.seoul,+82 70-5168-2050,Seoul,South Korea
보칼리노 Boccalino,https://www.fourseasons.com/seoul/dining/restaurants/boccalino/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-sko-fab-mid-seo-na&utm_content=na-na&utm_term=na,www.fourseasons.com/seoul/dining/restaurants/boccalino/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-sko-fab-mid-seo-na&utm_content=na-na&utm_term=na,+82 2-6388-5500,Seoul,South Korea
언오디너리 / Unordinary Seoul,https://www.instagram.com/unordinary_seoul/,www.instagram.com/unordinary_seoul,+82 10-9974-4817,Seoul,South Korea
Spacca Napoli,http://www.instagram.com/spaccanapoliseoul,www.instagram.com/spaccanapoliseoul,+82 2-326-2323,Seoul,South Korea
SAYU Wine Restaurant & Cafe,https://app.catchtable.co.kr/ct/shop/refreshlounge.namsan,app.catchtable.co.kr/ct/shop/refreshlounge.namsan,+82 10-2243-0957,Seoul,South Korea
띠넬로인서울,,,+82 50-71419-6003,Seoul,South Korea
동남 (DONGNAM),,,+82 2-736-1224,Seoul,South Korea
La Cantina,,,+82 2-777-2579,Seoul,South Korea
Casa del Vino,http://instagram.com/casadelvino2002,instagram.com/casadelvino2002,+82 2-542-8003,Seoul,South Korea
"Brera Restaurant, Seoul",http://www.brerarestaurant.com/,www.brerarestaurant.com,+82 2-2236-0770,Seoul,South Korea
Vinolic,http://vinolic.kr/,vinolic.kr,+82 2-6101-8884,Seoul,South Korea
Urban Garden,http://www.urbangarden.co.kr/,www.urbangarden.co.kr,+82 2-777-2254,Seoul,South Korea
Borgo Hannam,https://www.instagram.com/borgo_hannam,www.instagram.com/borgo_hannam,+82 2-6082-2727,Seoul,South Korea
NiceTime2 Pasta and Wine,https://www.instagram.com/pasta.ta.ta,www.instagram.com/pasta.ta.ta,+82 2-2039-1457,Seoul,South Korea
Seoul Boutique,,,+82 2-363-2091,Seoul,South Korea
La Cucina,http://www.la-cucina.co.kr/restaurant/restaurant_01_map.php,www.la-cucina.co.kr/restaurant/restaurant_01_map.php,+82 2-794-6005,Seoul,South Korea
Variegata Myeongdong,https://www.instagram.com/variegata_m,www.instagram.com/variegata_m,+82 2-3789-7375,Seoul,South Korea
Seoulution Corp.,http://seoulution.com/,seoulution.com,+82 2-512-1222,Seoul,South Korea
지에스씨인터내셔날,http://www.gsc.coffee/,www.gsc.coffee,+82 2-325-3035,Seoul,South Korea
OWNER,,,+82 2-322-5609,Seoul,South Korea
Touba Fall Cargo,https://tbf-cargo.com/fr/,tbf-cargo.com/fr,+82 10-2142-7525,Seoul,South Korea
Foreign Food Mart,https://www.forpang.com/events/food,www.forpang.com/events/food,+82 2-793-0082,Seoul,South Korea
Morello International Corporation,http://www.morelloint.com/,www.morelloint.com,+82 10-6295-0423,Seoul,South Korea
Spectra Global Korea,https://www.spectraglobal.co.kr/,www.spectraglobal.co.kr,,Seoul,South Korea
The Sool Company,https://www.thesoolcompany.com/,www.thesoolcompany.com,,Seoul,South Korea
한국술보틀숍(K Bottleshop),https://www.instagram.com/kbottleshop/,www.instagram.com/kbottleshop,+82 2-332-5008,Seoul,South Korea
Soolsool Store,https://www.instagram.com/soolsoolstore/,www.instagram.com/soolsoolstore,+82 2-6081-0324,Seoul,South Korea
뱅가드와인머천트 부산센텀지점,https://www.vwm.co.kr/,www.vwm.co.kr,+82 51-747-0751,Busan,South Korea
디오니스토어 해운대점,,,,Busan,South Korea
라이크어바다,,,+82 10-5661-5900,Busan,South Korea
네크레시 에스테이트 코리아,,,,Busan,South Korea
모젤와인 명지법원점,https://www.instagram.com/kesselstatt_winery/,www.instagram.com/kesselstatt_winery,+82 10-4665-1977,Busan,South Korea
"WINE AND MORE, Centum",http://shinsegae-lnb.com/about/winemore,shinsegae-lnb.com/about/winemore,+82 51-731-2556,Busan,South Korea
태광정밀,https://www.instagram.com/tkwine_/,www.instagram.com/tkwine_,+82 51-817-4048,Busan,South Korea
에노떼까구스토 enoteca gusto,https://www.instagram.com/1.9sto,www.instagram.com/1.9sto,,Busan,South Korea
Aperi,https://www.instagram.com/aperi.busan,www.instagram.com/aperi.busan,+82 10-2703-0509,Busan,South Korea
Emart Traders Seomyeon,http://www.traders.co.kr/index.jsp,www.traders.co.kr/index.jsp,+82 51-718-1234,Busan,South Korea
OPUS,,,+82 10-8945-8577,Busan,South Korea
Deumeu,,,,Busan,South Korea
그래나다,http://www.instagram.com/grae_nada/,www.instagram.com/grae_nada,+82 51-908-2030,Busan,South Korea
Ttodasi,https://www.instagram.com/ddodasi_jeonpo?igsh=YzVkODRmOTdmMw%3D%3D,www.instagram.com/ddodasi_jeonpo?igsh=YzVkODRmOTdmMw%3D%3D,+82 50-71377-4178,Busan,South Korea
Lotte Duty Free Store,http://www.lottedfs.com/,www.lottedfs.com,+82 51-810-3880,Busan,South Korea
CHILLING OUT Jeonpo,,,,Busan,South Korea
COSTCO Wholesale - Busan,https://www.costco.co.kr/,www.costco.co.kr,+82 1899-9900,Busan,South Korea
바302호,http://www.instagram.com/bar302ho_busan,www.instagram.com/bar302ho_busan,,Busan,South Korea
Bevvy Busan,https://www.instagram.com/bevvy_busan,www.instagram.com/bevvy_busan,+82 10-4849-6818,Busan,South Korea
