Company Name,Website,Domain,Phone,City,Country
URVINO VINOS Y LICORES,,,+57 300 6175827,Medellin,Colombia
Dislicores Store Medellín Milla de Oro,https://www.dislicores.com/,www.dislicores.com,+57 314 8857864,Medellin,Colombia
Mercado de Vinos,http://www.mercadodevinos.com/,www.mercadodevinos.com,+57 314 7933021,Medellin,Colombia
Club de Vinos Decanter,,,+57 310 4712675,Medellin,Colombia
Licores Medellín,https://www.licoresmedellin.com/,www.licoresmedellin.com,+57 304 2505550,Medellin,Colombia
Cheap Wine X WareHouse,,,,Medellin,Colombia
VINISSIMO Tienda de Vinos y Licores,https://www.vinissimo.com.co/?fbclid=PAZXh0bgNhZW0CMTEAAads_6c63IrcD-VlcD1pHALcbPF8EtuqeBrOY8JpbF0C_vnot4-dDcgzpax4Bw_aem_EcPc9Xc2_7NysN9CwAn0wA,www.vinissimo.com.co/?fbclid=PAZXh0bgNhZW0CMTEAAads_6c63IrcD-VlcD1pHALcbPF8EtuqeBrOY8JpbF0C_vnot4-dDcgzpax4Bw_aem_EcPc9Xc2_7NysN9CwAn0wA,+57 604 4017338,Medellin,Colombia
DULCERÍA LA CALIFORNIA,https://californialospepes.com/ecommerce/,californialospepes.com/ecommerce,+57 312 7824037,Medellin,Colombia
Duff Beer Licorera,https://www.instagram.com/licoreraduffmed/?hl=es,www.instagram.com/licoreraduffmed/?hl=es,+57 314 7381005,Medellin,Colombia
cava tunel,,,+57 601 2319936,Medellin,Colombia
"Melodía Para Dos, Sede Centro (Aquellos 60s)",,,+57 311 7757481,Medellin,Colombia
Drink Central Expertos en Licores,http://www.drinkcentral.co/,www.drinkcentral.co,+57 302 6421560,Medellin,Colombia
PIPPOS RANCHO & LICORES,,,+57 314 7915112,Medellin,Colombia
La Careta Licores de La 70,http://www.lacaretalicores.com/,www.lacaretalicores.com,+57 604 4752950,Medellin,Colombia
Licores el Castillo,https://licoreselcastillo.com.co/,licoreselcastillo.com.co,+57 6052663,Medellin,Colombia
Distribuidora Cultura Etílica,,,+57 312 2014474,Medellin,Colombia
Central Mayorista de Antioquia,http://lamayorista.com.co/,lamayorista.com.co,+57 42854815,Medellin,Colombia
Lleras Park Liquor Store,,,,Medellin,Colombia
DISTRIBUIDORA EL IMPACTO,https://distribuidoraelimpacto.co/,distribuidoraelimpacto.co,+57 316 6789160,Medellin,Colombia
Distribuidora Plaza de Florez,,,+57 301 3854353,Medellin,Colombia
Importadora Japón Medellín - Importadoras Asociadas,http://www.importadorasasociadas.com/,www.importadorasasociadas.com,+57 604 6071010,Medellin,Colombia
IMPORTADORA MULTIPARTES CELESTE MEDELLIN,,,+57 301 4140256,Medellin,Colombia
Importaciones Ossa,,,+57 314 6062425,Medellin,Colombia
Importadora Celeste Medellín - Importadoras Asociadas,https://www.importadorasasociadas.com/,www.importadorasasociadas.com,+57 604 6071010,Medellin,Colombia
Distribuidora la placita,,,+57 42397143,Medellin,Colombia
Distribuidora Dessens,http://www.distribuidoradessens.com/,www.distribuidoradessens.com,+57 314 5294962,Medellin,Colombia
DISTRIBUIDORA LA FRONTERA,http://www.distribuidoralafrontera.com.co/,www.distribuidoralafrontera.com.co,+57 301 5873500,Medellin,Colombia
Importadora Johnson S.A.S,https://importadorajohnson.com/,importadorajohnson.com,+57 313 3839954,Medellin,Colombia
Importadora central de lujos,,,+57 43229619,Medellin,Colombia
Licores Medellín - Sede Autopista 24 Horas,https://www.licoresmedellin.com/,www.licoresmedellin.com,+57 300 2739202,Medellin,Colombia
Distribuidora Mundo Huevo,https://www.mundohuevo.com/,www.mundohuevo.com,+57 42163929,Medellin,Colombia
Importadora Soto s.a.s,,,+57 45130332,Medellin,Colombia
Importadora Premium Online,https://importadorapremiumonline.com/,importadorapremiumonline.com,+57 305 3022209,Medellin,Colombia
Licores Medellín - Sede Laureles,https://www.licoresmedellin.com/,www.licoresmedellin.com,+57 300 2739202,Medellin,Colombia
DISTRIBUIDORA EL CASTILLO DE ANTIOQUIA,,,+57 44449487,Medellin,Colombia
Central de abastecimiento La Mayorista,https://www.lamayorista.com.co/,www.lamayorista.com.co,+57 604 4290220,Medellin,Colombia
Distrilicores Flaw (Distriflaw),,,+57 323 3350073,Medellin,Colombia
Distribuidora Mundo Huevo Boston Placita de Flórez,http://mundohuevo.com/,mundohuevo.com,+57 604 2163929,Medellin,Colombia
Consmo Mayorista S.A.S. Sede Minorista,http://www.consmopcmayorista.com/,www.consmopcmayorista.com,+57 604 4446897,Medellin,Colombia
Serviya D'Licores - Bavaria Express Distribuidora,,,+57 604 2166869,Medellin,Colombia
il Castello,https://linktr.ee/ilcastello_restaurante,linktr.ee/ilcastello_restaurante,+57 311 7165573,Medellin,Colombia
Della Nonna Laureles,https://dellanonna.com.co/,dellanonna.com.co,+57 604 3222090,Medellin,Colombia
Dinoi Gastronomia Italiana,http://dinoi.co/,dinoi.co,+57 300 6273342,Medellin,Colombia
Restaurante Abbiocco,https://marqueemedellin.com/abbiocco-restaurant/,marqueemedellin.com/abbiocco-restaurant,+57 323 3594562,Medellin,Colombia
Restaurante La Tienda Del Vino desde 1999,,,+57 305 2297472,Medellin,Colombia
Caduff Pasta Fresca,https://caduff.co/,caduff.co,+57 604 5005747,Medellin,Colombia
La Sere,https://lasere.co/?utm_source=google&utm_medium=maps&utm_campaign=la_sere,lasere.co/?utm_source=google&utm_medium=maps&utm_campaign=la_sere,+57 604 2013033,Medellin,Colombia
Palazzetto D´Italia Ristorante,http://www.elpalazzetto.com/,www.elpalazzetto.com,+57 318 4687993,Medellin,Colombia
Della Nonna Trattoria - Mall del Este,http://dellanonna.com.co/,dellanonna.com.co,+57 604 3222090,Medellin,Colombia
il forno Parque Lleras | Medellín,http://www.ilforno.co/,www.ilforno.co,+57 604 4486860,Medellin,Colombia
il forno Casa Laureles | Medellín,http://www.ilforno.co/,www.ilforno.co,+57 604 4486860,Medellin,Colombia
Cavieli Ristorante -Pizzeria - Caffe’ Bar Desde 2013,https://queresto.com/Cavieliristorante,queresto.com/Cavieliristorante,+57 315 6811990,Medellin,Colombia
Romero Artesanal Cuisine - Laureles,https://romerococinartesanal.com.co/,romerococinartesanal.com.co,+57 44129905,Medellin,Colombia
Restaurante - Kampanas Cocinas del Mundo Medellin,https://www.kampanascocinasdelmundo.com/,www.kampanascocinasdelmundo.com,+57 300 2978005,Medellin,Colombia
"Romero Cocina Artesanal | Restaurante en La 10, Poblado, Medellin",https://romerococinartesanal.com.co/,romerococinartesanal.com.co,+57 3586487,Medellin,Colombia
Il Forno - Unicentro,http://www.ilforno.co/,www.ilforno.co,+57 604 4486860,Medellin,Colombia
